DateTime,Discharge,Stream EC
05-08-2009 00:00,3.304,0.177
05-08-2009 01:00,3.304,0.177
05-08-2009 02:00,4.188,0.177
05-08-2009 03:00,4.188,0.177
05-08-2009 04:00,4.188,0.177
05-08-2009 05:00,4.188,0.177
05-08-2009 06:00,4.188,0.177
05-08-2009 07:00,4.188,0.177
05-08-2009 08:00,4.188,0.176
05-08-2009 09:00,4.433,0.176
05-08-2009 10:00,5.233,0.176
05-08-2009 11:00,7.824,0.175
05-08-2009 12:00,8.21,0.175
05-08-2009 13:00,8.552,0.175
05-08-2009 14:00,7.824,0.175
05-08-2009 15:00,6.744,0.175
05-08-2009 16:00,6.088,0.175
05-08-2009 17:00,5.192,0.175
05-08-2009 18:00,4.153,0.175
05-08-2009 19:00,3.727,0.175
05-08-2009 20:00,3.106,0.176
05-08-2009 21:00,2.917,0.176
05-08-2009 22:00,2.737,0.177
05-08-2009 23:00,2.917,0.178
06-08-2009 00:00,3.304,0.178
06-08-2009 01:00,3.511,0.178
06-08-2009 02:00,4.188,0.178
06-08-2009 03:00,4.188,0.178
06-08-2009 04:00,4.433,0.178
06-08-2009 05:00,5.233,0.177
06-08-2009 06:00,5.233,0.177
06-08-2009 07:00,6.457,0.175
06-08-2009 08:00,7.824,0.174
06-08-2009 09:00,9.453,0.173
06-08-2009 10:00,15.743,0.173
06-08-2009 11:00,24.651,0.173
06-08-2009 12:00,30.346,0.173
06-08-2009 13:00,36.778,0.16
06-08-2009 14:00,73.346,0.15
06-08-2009 15:00,90.184,0.149
06-08-2009 16:00,90.184,0.156
06-08-2009 17:00,94.8,0.148
06-08-2009 18:00,90.184,0.156
06-08-2009 19:00,77.609,0.159
06-08-2009 20:00,69.792,0.159
06-08-2009 21:00,66.108,0.159
06-08-2009 22:00,59.168,0.16
06-08-2009 23:00,57.52,0.161
07-08-2009 00:00,54.324,0.162
07-08-2009 01:00,51.475,0.163
07-08-2009 02:00,59.168,0.16
07-08-2009 03:00,64.32,0.159
07-08-2009 04:00,66.108,0.158
07-08-2009 05:00,66.108,0.158
07-08-2009 06:00,69.792,0.152
07-08-2009 07:00,94.8,0.159
07-08-2009 08:00,125.797,0.161
07-08-2009 09:00,125.797,0.159
07-08-2009 10:00,120.513,0.157
07-08-2009 11:00,115.006,0.155
07-08-2009 12:00,109.685,0.154
07-08-2009 13:00,120.513,0.153
07-08-2009 14:00,131.675,0.148
07-08-2009 15:00,131.675,0.143
07-08-2009 16:00,140.865,0.136
07-08-2009 17:00,147.246,0.146
07-08-2009 18:00,150.515,0.15
07-08-2009 19:00,153.836,0.149
07-08-2009 20:00,144.03,0.15
07-08-2009 21:00,131.675,0.152
07-08-2009 22:00,120.513,0.152
07-08-2009 23:00,109.685,0.153
08-08-2009 00:00,102.044,0.155
08-08-2009 01:00,94.8,0.156
08-08-2009 02:00,88.257,0.157
08-08-2009 03:00,81.748,0.158
08-08-2009 04:00,79.659,0.159
08-08-2009 05:00,77.609,0.161
08-08-2009 06:00,73.625,0.162
08-08-2009 07:00,71.69,0.163
08-08-2009 08:00,69.792,0.164
08-08-2009 09:00,66.108,0.165
08-08-2009 10:00,66.108,0.166
08-08-2009 11:00,66.108,0.166
08-08-2009 12:00,64.32,0.167
08-08-2009 13:00,60.85,0.167
08-08-2009 14:00,60.85,0.167
08-08-2009 15:00,59.168,0.167
08-08-2009 16:00,59.168,0.167
08-08-2009 17:00,54.324,0.167
08-08-2009 18:00,52.776,0.167
08-08-2009 19:00,52.776,0.167
08-08-2009 20:00,52.776,0.167
08-08-2009 21:00,51.26,0.167
08-08-2009 22:00,51.26,0.167
08-08-2009 23:00,51.475,0.167
09-08-2009 00:00,49.987,0.167
09-08-2009 01:00,49.987,0.167
09-08-2009 02:00,49.987,0.167
09-08-2009 03:00,49.987,0.167
09-08-2009 04:00,49.987,0.167
09-08-2009 05:00,47.105,0.167
09-08-2009 06:00,49.987,0.167
09-08-2009 07:00,49.987,0.167
09-08-2009 08:00,49.987,0.167
09-08-2009 09:00,49.987,0.167
09-08-2009 10:00,49.987,0.167
09-08-2009 11:00,47.105,0.167
09-08-2009 12:00,47.105,0.167
09-08-2009 13:00,47.105,0.167
09-08-2009 14:00,43.013,0.167
09-08-2009 15:00,41.708,0.167
09-08-2009 16:00,41.708,0.172
09-08-2009 17:00,36.778,0.172
09-08-2009 18:00,36.61,0.172
09-08-2009 19:00,36.61,0.172
09-08-2009 20:00,35.615,0.172
09-08-2009 21:00,34.48,0.173
09-08-2009 22:00,35.615,0.173
09-08-2009 23:00,35.615,0.173
10-08-2009 00:00,36.778,0.173
10-08-2009 01:00,36.778,0.173
10-08-2009 02:00,36.778,0.173
10-08-2009 03:00,36.778,0.173
10-08-2009 04:00,36.778,0.173
10-08-2009 05:00,36.778,0.173
10-08-2009 06:00,36.778,0.173
10-08-2009 07:00,37.968,0.173
10-08-2009 08:00,39.187,0.173
10-08-2009 09:00,40.433,0.173
10-08-2009 10:00,39.187,0.173
10-08-2009 11:00,36.778,0.173
10-08-2009 12:00,36.778,0.173
10-08-2009 13:00,35.615,0.173
10-08-2009 14:00,32.288,0.173
10-08-2009 15:00,31.231,0.173
10-08-2009 16:00,28.212,0.173
10-08-2009 17:00,28.212,0.173
10-08-2009 18:00,26.322,0.173
10-08-2009 19:00,25.412,0.174
10-08-2009 20:00,24.526,0.174
10-08-2009 21:00,24.526,0.174
10-08-2009 22:00,24.651,0.174
10-08-2009 23:00,24.651,0.174
